unit_price_usd,profit_usd,shipping_cost_usd,profit_margin_pct,cost_usd,total_price_usd
282.38,657.35,20.35,46.56,754.55,1411.9
96.78,150.33,11.06,51.78,140.01,290.34
62.59,152.8,21.28,48.83,160.15,312.95
184.68,121.08,18.63,36.42,211.34,332.42
67.92,37.41,1.44,28.99,91.64,129.05
86.8,178.8,22.58,51.5,168.4,347.2
55.4,25.16,5.44,45.42,30.24,55.4
164.35,198.73,8.22,31.82,425.8,624.53
55.33,135.17,7.44,51.43,127.65,262.82
68.74,68.15,21.89,23.33,224.0,292.15
250.67,310.53,14.29,41.29,441.48,752.01
184.35,76.62,22.43,17.32,365.82,442.44
140.25,103.11,22.38,30.63,233.49,336.6
47.26,18.91,6.02,47.07,21.26,40.17
116.89,202.48,21.59,48.12,218.32,420.8
158.1,409.43,24.01,54.52,341.55,750.98
129.11,238.44,6.29,41.04,342.55,580.99
91.9,86.2,17.58,32.91,175.71,261.91
61.0,29.7,18.16,54.1,25.2,54.9
136.86,125.33,6.19,38.16,203.13,328.46
270.92,49.43,4.92,21.47,180.85,230.28
73.27,97.49,14.53,46.69,111.33,208.82
247.81,172.26,4.08,34.76,323.36,495.62
15.87,12.4,22.22,39.07,19.34,31.74
75.86,66.07,18.68,38.71,104.61,170.68
231.43,364.29,24.66,55.23,295.29,659.58
214.37,362.51,2.53,37.58,602.15,964.66
139.21,56.35,19.55,13.24,389.12,445.47
122.12,178.95,22.06,48.85,187.41,366.36
73.95,104.86,24.75,49.75,105.9,210.76
165.2,205.15,14.97,31.05,455.65,660.8
243.36,498.24,23.21,51.18,475.2,973.44
71.58,32.63,9.67,26.81,89.06,121.69
181.08,108.55,13.24,24.98,326.04,434.59
361.65,560.33,15.77,54.36,470.37,1030.7
99.91,33.32,23.79,20.84,126.54,159.86
182.42,255.84,13.01,35.06,473.84,729.68
382.1,181.01,16.84,52.64,162.88,343.89
312.21,179.87,2.77,18.0,819.2,999.07
174.41,31.35,11.17,21.15,116.9,148.25
42.57,31.63,19.28,29.14,76.92,108.55
28.23,48.64,12.56,36.27,85.45,134.09
53.43,119.0,10.06,44.54,148.15,267.15
108.93,178.63,16.7,36.44,311.55,490.18
92.02,177.91,13.97,53.71,153.36,331.27
135.43,118.84,9.75,39.0,185.88,304.72
212.81,99.57,11.31,49.25,102.6,202.17
160.69,179.62,24.59,55.89,141.76,321.38
67.04,106.17,11.03,52.79,94.95,201.12
41.96,77.84,2.88,46.38,90.0,167.84
53.92,13.49,18.5,33.36,26.95,40.44
157.0,151.0,2.51,53.43,131.6,282.6
119.5,274.95,20.29,51.13,262.8,537.75
100.07,21.46,23.55,23.83,68.6,90.06
98.12,40.29,9.62,41.06,57.83,98.12
249.92,133.51,17.16,53.42,116.41,249.92
32.58,46.3,13.64,52.63,41.67,87.97
108.26,194.11,19.42,47.18,217.28,411.39
41.2,12.31,0.25,31.45,26.83,39.14
169.25,136.08,0.25,40.2,202.42,338.5
192.32,207.12,3.86,35.9,369.84,576.96
224.41,285.68,21.7,33.5,567.08,852.76
369.07,470.06,19.29,44.69,581.79,1051.85
57.38,39.2,9.66,37.96,64.08,103.28
29.17,82.15,17.57,56.32,63.7,145.85
113.55,103.5,9.06,45.57,123.6,227.1
93.26,143.86,4.72,36.3,252.5,396.36
192.5,241.62,7.12,41.84,335.88,577.5
80.55,55.34,13.56,40.41,81.6,136.94
58.39,74.07,18.41,46.98,83.58,157.65
282.91,217.68,4.62,28.5,546.18,763.86
42.67,94.43,20.9,46.59,108.25,202.68
242.73,83.8,21.45,20.31,328.84,412.64
50.12,42.58,15.3,29.81,100.26,142.84
231.72,158.0,10.87,40.11,235.92,393.92
366.85,339.76,16.02,36.32,595.71,935.47
184.04,95.78,21.52,52.04,88.26,184.04
141.83,241.9,18.88,50.16,240.32,482.22
177.98,183.88,18.22,51.66,172.08,355.96
296.25,58.6,9.83,23.27,193.21,251.81
61.54,94.41,20.55,51.14,90.21,184.62
286.89,422.91,5.68,54.6,351.69,774.6
474.13,784.3,5.34,40.82,1097.55,1805.0
232.2,119.2,20.76,28.52,298.76,417.96
25.38,23.72,24.1,21.99,84.15,107.87
154.4,328.95,12.39,42.61,443.05,772.0
50.78,41.32,18.48,45.21,50.08,91.4
52.08,30.62,17.34,39.2,47.5,78.12
98.36,62.72,7.92,31.88,134.0,196.72
127.28,249.76,17.78,49.06,259.36,509.12
145.76,143.33,6.49,38.56,228.36,371.69
257.24,157.65,19.86,19.15,665.52,823.17
97.76,134.43,10.0,42.97,178.4,312.83
130.13,214.4,23.88,32.95,436.25,650.65
54.6,83.04,0.25,38.02,135.36,218.4
166.44,197.03,14.59,31.15,435.44,632.47
31.79,9.78,13.55,32.38,20.42,30.2
20.42,20.46,22.61,50.1,20.38,40.84
182.64,59.17,16.43,32.4,123.47,182.64
224.38,364.31,10.61,34.18,701.5,1065.81
44.84,63.86,15.52,49.97,63.93,127.79
125.86,221.4,24.41,43.98,282.04,503.44
201.4,195.54,14.1,38.07,318.03,513.57
222.98,112.1,23.79,27.93,289.26,401.36
304.25,448.27,24.0,38.77,707.88,1156.15
124.6,44.79,10.96,37.84,73.58,118.37
27.86,21.51,13.93,40.64,31.42,52.93
124.09,150.87,2.12,40.53,221.4,372.27
166.49,33.37,21.6,23.58,108.15,141.52
103.59,247.92,0.44,59.01,166.44,414.36
46.06,83.83,1.26,38.32,134.95,218.78
215.54,377.04,5.58,58.31,269.58,646.62
199.81,289.32,3.43,36.2,509.92,799.24
417.63,359.06,5.9,42.99,476.2,835.26
19.29,23.46,18.56,27.02,63.35,86.81
99.58,210.85,8.43,42.35,287.05,497.9
335.26,539.91,13.3,53.68,465.87,1005.78
192.2,324.15,17.19,37.48,540.75,864.9
219.87,425.53,22.01,48.38,453.95,879.48
55.54,97.37,2.7,36.91,166.45,263.82
126.03,161.54,12.18,47.47,178.74,340.28
88.58,16.03,13.06,21.29,59.26,75.29
456.4,482.85,1.18,37.12,817.89,1300.74
218.81,178.42,13.8,40.77,259.2,437.62
222.68,272.79,21.9,40.83,395.25,668.04
77.09,181.25,4.11,47.02,204.2,385.45
109.82,225.64,5.84,51.37,213.64,439.28
112.7,217.92,13.03,40.71,317.4,535.32
231.32,322.08,17.5,46.41,371.88,693.96
96.67,33.29,11.63,14.35,198.72,232.01
116.03,58.1,14.62,52.71,52.13,110.23
82.32,113.18,7.04,36.18,199.64,312.82
132.73,263.6,5.83,46.73,300.5,564.1
253.47,184.9,11.45,22.8,626.2,811.1
204.67,169.57,24.71,27.62,444.44,614.01
80.27,151.4,4.5,47.15,169.68,321.08
39.42,17.96,21.01,25.31,53.0,70.96
443.36,275.9,16.22,18.3,1097.55,1507.42
129.64,125.22,21.49,50.84,121.1,246.32
248.5,215.14,6.29,43.29,281.86,497.0
244.85,371.49,24.37,31.94,791.55,1163.04
390.73,784.3,13.41,46.72,988.95,1805.0
124.85,143.85,20.45,28.8,355.55,499.4
128.3,328.62,13.99,53.92,280.8,609.42
162.82,193.52,20.38,59.01,132.12,325.64
24.31,30.16,21.32,31.02,67.08,97.24
245.91,88.37,5.12,35.94,157.54,245.91
185.25,195.44,20.38,55.53,156.54,351.98
148.43,205.27,13.23,36.39,358.76,564.03
27.96,58.88,5.49,52.65,52.96,111.84
81.4,60.34,13.32,37.06,102.46,162.8
213.01,236.34,20.03,43.51,306.84,543.18
232.3,219.82,19.46,47.31,244.78,464.6
54.93,51.01,20.86,51.59,47.86,98.87
208.31,127.58,5.26,25.52,372.36,499.94
111.19,158.04,18.84,37.4,264.48,422.52
197.79,236.91,23.08,42.03,326.79,563.7
29.27,22.09,14.14,39.72,33.52,55.61
145.66,160.22,23.07,30.55,364.16,524.38
462.71,341.82,7.51,46.17,398.52,740.34
475.51,384.9,1.2,30.7,868.65,1253.55
115.43,57.51,9.89,52.44,52.15,109.66
124.47,279.02,13.99,49.81,281.1,560.12
18.7,26.97,2.94,33.94,52.5,79.47
103.95,35.55,11.49,36.0,63.2,98.75
114.96,123.19,14.86,37.6,204.45,327.64
193.53,88.04,3.18,26.76,240.96,329.0
110.06,215.68,2.7,41.26,307.1,522.78
89.13,105.84,10.33,46.57,121.44,227.28
256.97,146.71,6.8,31.72,315.84,462.55
151.89,275.96,18.77,50.47,270.84,546.8
43.3,116.88,21.74,56.83,88.8,205.68
110.56,248.56,6.76,56.2,193.68,442.24
425.63,578.81,22.41,45.33,698.08,1276.89
62.54,13.61,3.75,14.51,80.2,93.81
195.17,329.52,7.25,37.52,548.75,878.27
177.65,297.86,2.79,46.57,341.68,639.54
66.61,63.71,5.01,31.88,136.12,199.83
61.37,19.3,22.93,39.31,29.8,49.1
148.48,220.49,2.7,41.25,314.04,534.53
166.49,57.96,19.67,40.96,83.56,141.52
235.9,145.94,9.34,30.93,325.86,471.8
39.21,28.4,1.75,32.19,59.82,88.22
107.44,37.46,7.86,34.87,69.98,107.44
176.94,313.74,13.22,41.72,438.25,751.99
114.15,89.1,0.36,48.78,93.54,182.64
175.5,66.72,11.27,38.02,108.78,175.5
132.1,57.52,0.47,24.19,180.26,237.78
268.83,259.73,20.91,35.78,466.11,725.84
299.06,300.19,14.31,52.83,268.02,568.21
475.51,160.3,15.29,36.01,284.8,445.1
288.66,333.11,16.08,30.37,763.8,1096.91
68.89,28.59,19.81,46.11,33.41,62.0
114.35,142.28,0.64,48.79,149.31,291.59
18.91,7.18,13.0,26.45,13.04,22.06
37.24,50.12,19.3,33.65,98.84,148.96
70.73,39.7,19.85,17.54,186.64,226.34
57.34,26.98,0.48,47.05,30.36,57.34
46.12,17.34,15.55,39.58,26.47,43.81
45.23,7.82,13.87,20.34,30.63,38.45
22.52,11.66,15.35,54.51,13.04,22.06
84.21,100.74,21.49,46.91,114.0,214.74
15.72,16.22,16.92,39.35,25.0,41.22
89.71,145.62,6.95,54.11,123.51,269.13
84.83,109.19,15.6,35.75,196.2,305.39
400.18,170.3,13.32,47.28,189.86,360.16
37.3,8.8,23.26,27.75,22.91,31.71
109.19,39.01,7.68,39.7,59.26,98.27
158.84,45.29,23.56,30.01,105.61,150.9
149.26,48.12,10.15,40.3,71.29,119.41
129.42,305.08,14.79,58.93,212.6,517.68
37.03,54.3,24.62,43.13,71.6,125.9
40.59,65.22,5.52,53.56,56.55,121.77
343.62,537.99,24.53,43.49,699.04,1237.03
225.85,337.62,10.2,41.52,475.44,813.06
149.28,72.16,23.31,48.34,77.12,149.28
105.88,147.21,9.07,30.9,329.25,476.46
192.7,101.28,18.21,16.42,515.36,616.64
143.91,71.69,20.62,49.82,72.22,143.91
121.76,266.89,8.67,57.68,195.8,462.69
144.62,287.88,0.37,49.76,290.6,578.48
21.95,11.47,8.69,34.83,21.46,32.93
74.38,140.4,14.54,37.75,231.5,371.9
141.4,221.48,0.82,39.16,344.12,565.6
373.51,156.9,6.04,42.01,216.61,373.51
84.08,33.16,16.54,16.43,168.63,201.79
124.2,277.55,5.3,44.69,343.45,621.0
279.9,535.67,6.93,45.03,653.9,1189.57
206.44,233.66,11.04,39.71,354.69,588.35
230.64,463.28,0.88,50.22,459.28,922.56
149.82,66.73,4.0,44.54,83.09,149.82
124.06,366.9,17.29,59.01,253.4,620.3
74.25,78.07,15.82,41.23,111.27,189.34
178.49,172.77,1.16,50.95,166.36,339.13
69.69,120.6,23.49,57.68,88.47,209.07
26.5,21.47,9.48,42.64,28.88,50.35
31.1,12.96,6.95,43.86,16.59,29.55
370.1,515.52,24.75,43.53,668.8,1184.32
180.12,57.15,0.45,31.73,122.97,180.12
338.11,338.34,0.33,22.24,1097.55,1521.49
285.17,108.49,16.98,40.05,162.42,270.91
66.12,21.39,23.05,38.06,34.81,56.2
41.25,24.7,4.12,59.01,16.55,41.25
74.32,38.67,10.87,52.03,35.65,74.32
28.12,31.87,3.7,44.44,39.84,71.71
198.81,249.78,10.55,41.88,346.65,596.43
42.77,14.45,1.94,21.12,53.98,68.43
142.64,256.63,15.27,39.98,385.25,641.88
197.44,274.92,1.31,34.81,514.84,789.76
61.57,61.0,20.55,36.69,105.24,166.24
175.3,55.45,23.13,31.63,119.85,175.3
59.51,167.25,10.42,56.21,130.3,297.55
273.83,155.4,12.72,56.75,118.43,273.83
170.54,59.06,19.67,46.17,68.85,127.91
86.89,154.38,3.95,46.76,175.8,330.18
104.95,114.5,15.02,30.31,263.32,377.82
180.58,322.14,20.79,59.01,219.6,541.74
172.74,131.91,13.74,42.42,179.02,310.93
131.91,193.04,7.57,36.59,334.6,527.64
28.86,76.94,15.85,56.12,60.15,137.09
186.49,257.87,10.43,48.52,273.63,531.5
16.82,7.58,10.57,45.07,13.04,22.06
72.78,81.84,15.3,37.48,136.5,218.34
228.41,227.12,14.63,52.33,206.86,433.98
97.14,110.1,3.1,37.78,181.32,291.42
169.17,308.21,24.4,50.61,300.8,609.01
180.32,413.25,9.55,45.84,488.35,901.6
138.88,335.18,8.24,50.81,324.5,659.68
475.51,342.18,11.67,35.71,616.04,958.22
148.35,360.45,12.89,48.59,381.3,741.75
24.78,12.47,4.56,13.42,80.45,92.92
212.11,159.62,8.56,47.03,179.76,339.38
54.12,84.51,14.76,43.38,110.32,194.83
69.62,35.71,2.46,53.99,30.43,66.14
70.81,61.71,6.76,32.28,129.48,191.19
140.81,157.54,11.39,26.33,440.9,598.44
35.59,13.4,19.11,25.1,39.98,53.38
26.99,22.26,6.87,43.41,29.02,51.28
241.55,164.32,24.19,25.2,487.86,652.18
55.49,42.57,17.55,28.41,107.25,149.82
139.55,229.51,15.04,57.71,168.21,397.72
237.59,35.96,7.41,20.18,142.23,178.19
327.21,160.27,4.8,48.98,166.94,327.21
159.8,86.14,4.17,29.95,201.5,287.64
53.56,101.84,19.3,47.54,112.4,214.24
190.67,85.58,2.4,26.4,238.56,324.14
102.39,64.8,7.72,33.31,129.74,194.54
155.87,105.27,12.66,37.52,175.3,280.57
228.12,446.47,7.06,54.37,374.76,821.23
99.93,35.63,21.88,44.57,44.31,79.94
125.39,133.72,20.68,29.62,317.68,451.4
237.94,675.75,20.17,56.8,513.95,1189.7
41.05,15.56,13.39,37.9,25.49,41.05
73.49,19.12,1.93,16.26,98.46,117.58
292.24,520.82,16.09,52.42,472.8,993.62
72.65,148.4,0.62,51.07,142.2,290.6
95.31,166.51,8.79,46.59,190.9,357.41
45.4,75.56,1.55,43.8,96.96,172.52
258.47,291.37,8.51,41.75,406.5,697.87
241.1,136.55,14.95,25.17,405.93,542.48
62.83,78.44,12.41,27.74,204.3,282.74
133.01,114.84,0.96,23.98,364.0,478.84
88.07,31.17,14.91,44.24,39.29,70.46
119.56,48.94,20.21,40.93,70.62,119.56
139.37,266.61,16.43,42.51,360.55,627.16
415.64,319.6,13.41,30.15,740.28,1059.88
322.85,324.04,3.67,39.36,499.23,823.27
103.34,82.23,17.87,31.2,181.29,263.52
215.32,425.2,19.67,39.49,651.4,1076.6
125.99,91.89,5.43,22.79,311.28,403.17
135.83,135.67,11.94,41.62,190.32,325.99
150.08,178.07,13.32,29.66,422.25,600.32
253.1,153.08,10.56,23.72,492.33,645.41
98.05,132.26,20.78,47.33,147.18,279.44
68.19,78.09,9.05,40.18,116.25,194.34
435.88,784.3,17.73,38.32,1097.55,1805.0
97.43,216.79,13.22,46.84,246.0,462.79
37.95,24.62,10.18,40.55,36.1,60.72
24.12,35.23,2.84,36.52,61.25,96.48
207.03,365.15,9.68,46.41,421.56,786.71
37.94,31.61,8.74,20.83,120.15,151.76
76.82,78.12,20.05,35.68,140.82,218.94
475.16,784.3,11.95,46.2,1022.5,1805.0
168.68,159.03,21.44,27.73,414.48,573.51
49.99,24.62,1.82,54.72,20.37,44.99
352.73,574.69,13.22,43.45,748.05,1322.74
184.37,170.58,15.75,30.84,382.53,553.11
272.49,228.63,7.58,44.16,289.1,517.73
23.1,21.18,13.45,45.84,25.02,46.2
53.78,24.33,7.74,45.24,29.45,53.78
101.26,58.43,8.41,57.7,42.83,101.26
144.34,240.25,22.36,43.8,308.24,548.49
187.75,206.42,20.84,24.43,638.45,844.87
400.24,614.81,22.48,38.4,986.15,1600.96
55.37,25.84,6.2,49.13,26.76,52.6
41.24,111.29,24.5,56.81,84.6,195.89
80.73,164.04,16.33,50.8,158.88,322.92
40.96,92.56,14.64,47.57,102.0,194.56
70.05,66.48,5.23,47.45,73.62,140.1
54.51,42.04,6.54,30.24,96.96,139.0
103.63,75.89,12.35,40.69,110.64,186.53
130.21,347.05,0.53,56.11,271.45,618.5
32.25,33.83,8.16,27.61,88.72,122.55
68.91,61.91,21.73,28.08,158.6,220.51
54.45,35.02,12.52,25.22,103.83,138.85
218.52,305.47,5.93,29.43,732.5,1037.97
152.92,164.75,9.0,44.89,202.26,367.01
248.23,551.85,16.79,44.46,689.3,1241.15
349.64,162.62,10.54,46.51,187.02,349.64
228.6,100.15,2.91,43.81,128.45,228.6
188.37,175.05,3.07,51.63,164.02,339.07
199.01,127.99,23.53,20.1,508.84,636.83
258.18,421.76,15.88,40.84,610.96,1032.72
17.73,16.89,0.62,31.75,36.3,53.19
119.16,58.9,1.45,49.43,60.26,119.16
116.9,116.82,4.02,55.52,93.6,210.42
90.96,39.04,5.34,50.49,38.28,77.32
143.03,221.15,8.0,42.95,293.76,514.91
77.19,63.4,18.6,41.07,90.98,154.38
130.49,204.41,8.39,54.96,167.49,371.9
221.85,192.8,12.6,45.74,228.72,421.52
132.65,38.0,9.12,33.7,74.75,112.75
77.49,54.72,14.61,39.23,84.76,139.48
318.63,562.09,10.87,39.2,871.75,1433.84
66.7,148.73,1.09,52.47,134.75,283.48
42.85,66.4,2.86,38.74,105.0,171.4
111.92,69.1,5.73,30.87,154.74,223.84
65.69,42.99,11.46,21.81,154.08,197.07
96.58,17.88,2.02,21.78,64.21,82.09
131.1,76.94,12.07,58.69,54.16,131.1
30.09,21.93,15.42,38.36,35.24,57.17
90.04,117.69,5.12,43.57,152.43,270.12
169.35,51.71,17.75,33.93,100.71,152.42
137.03,71.32,1.01,54.79,58.86,130.18
138.31,42.87,20.41,18.23,192.26,235.13
134.0,45.48,21.73,13.24,356.52,402.0
87.46,66.99,21.5,40.31,99.18,166.17
67.11,158.68,20.22,59.01,109.76,268.44
216.75,301.56,12.52,43.48,392.04,693.6
184.2,104.2,12.83,33.28,208.94,313.14
114.79,95.08,15.33,48.72,100.06,195.14
21.13,15.1,16.18,22.33,52.52,67.62
114.0,60.09,16.27,55.48,48.21,108.3
167.52,231.94,14.08,30.77,521.9,753.84
43.9,50.9,4.01,30.51,115.92,166.82
35.72,12.67,4.18,39.41,19.48,32.15
60.56,101.4,19.45,55.81,80.28,181.68
30.48,26.49,8.31,45.74,31.42,57.91
140.24,234.82,22.48,46.51,270.04,504.86
468.33,127.63,2.52,13.24,1097.55,1404.99
451.44,784.3,15.81,59.01,732.36,1805.0
108.18,185.88,19.65,45.22,225.2,411.08
221.79,71.55,21.33,32.26,150.24,221.79
274.68,295.01,18.8,42.12,405.42,700.43
32.12,81.9,8.8,51.0,78.7,160.6
22.57,29.7,3.8,46.18,34.62,64.32
290.13,227.63,13.29,43.59,294.6,522.23
78.79,114.96,5.53,54.04,97.77,212.73
102.19,48.14,17.22,47.11,54.05,102.19
206.24,408.44,15.54,49.51,416.52,824.96
185.67,60.44,9.01,38.3,97.38,157.82
59.9,82.02,9.1,45.64,97.68,179.7
307.67,340.43,18.2,38.82,536.43,876.86
74.17,96.1,3.23,38.11,156.08,252.18
62.55,145.24,23.15,58.05,104.96,250.2
141.86,201.79,8.71,37.43,337.28,539.07
31.92,43.67,21.68,50.67,42.51,86.18
20.21,56.5,5.52,55.91,44.55,101.05
182.63,51.31,20.8,31.22,113.06,164.37
79.75,34.17,16.9,23.8,109.38,143.55
298.32,125.2,22.18,44.18,158.2,283.4
117.71,77.14,5.4,25.7,223.02,300.16
136.36,36.53,16.83,35.72,65.74,102.27
35.95,15.16,2.61,42.17,20.79,35.95
75.05,33.49,7.13,49.58,34.06,67.55
178.42,112.03,2.53,15.7,601.65,713.68
87.71,125.91,22.01,47.85,137.22,263.13
133.98,71.24,3.68,55.97,56.04,127.28
92.12,57.56,10.85,34.71,108.26,165.82
88.27,137.89,10.42,43.39,179.88,317.77
53.42,110.88,24.59,48.84,116.15,227.03
59.61,62.76,20.15,52.64,56.46,119.22
248.88,430.35,3.02,34.58,814.05,1244.4
15.72,7.18,21.62,17.8,13.3,22.06
87.04,137.34,9.46,52.6,123.78,261.12
88.6,96.62,10.25,54.53,80.58,177.2
69.83,136.48,2.17,48.86,142.84,279.32
16.95,17.3,1.17,25.52,50.5,67.8
30.98,54.6,15.87,46.38,63.12,117.72
192.19,161.54,5.93,46.7,184.4,345.94
241.13,372.12,20.99,51.44,351.27,723.39
115.61,107.52,22.75,31.0,239.31,346.83
84.35,152.0,0.35,45.05,185.4,337.4
50.85,51.11,6.71,23.65,165.0,216.11
280.48,527.15,4.83,37.59,875.25,1402.4
262.38,169.49,14.49,38.0,276.56,446.05
126.75,56.51,22.04,46.93,63.9,120.41
192.84,71.1,5.1,23.04,237.44,308.54
68.3,24.43,13.92,35.77,43.87,68.3
45.18,40.75,0.58,33.4,81.24,121.99
111.8,30.33,19.64,13.24,221.22,251.55
137.98,239.86,22.27,36.6,415.55,655.41
101.37,78.99,14.78,45.84,93.34,172.33
196.53,116.01,23.63,32.79,237.74,353.75
145.01,29.8,1.75,25.69,86.21,116.01
232.65,89.24,9.93,13.24,783.2,872.44
181.16,26.3,22.39,18.15,118.63,144.93
167.42,338.1,1.87,40.39,499.0,837.1
69.13,145.24,18.35,46.69,165.85,311.09
38.26,64.84,21.74,42.37,88.2,153.04
203.32,58.28,6.87,13.24,551.68,609.96
100.87,207.72,12.5,51.48,195.76,403.48
194.7,147.1,12.13,37.78,242.3,389.4
100.5,75.54,10.11,31.32,165.66,241.2
64.03,143.79,3.66,47.28,160.35,304.14
129.08,256.15,12.97,39.69,389.25,645.4
242.96,348.61,21.16,30.21,805.45,1154.06
63.47,118.81,16.37,52.0,109.68,228.49
38.56,40.96,23.68,39.34,63.15,104.11
